neighbourhood_cleansed,mean,std,median,var,min,max,count,25%,50%,75%,most_common_room_type
Amager Vest,4.815080264400378,0.3086443132102984,4.9,0.09526131207705676,1.0,5.0,1059,4.75,4.9,5.0,Entire home/apt
Amager st,4.798214285714286,0.2791652034249278,4.87,0.0779332108032813,1.0,5.0,924,4.7,4.87,5.0,Entire home/apt
Bispebjerg,4.796423841059602,0.28175967876588814,4.89,0.07938851657825646,3.0,5.0,604,4.7,4.89,5.0,Entire home/apt
Brønshøj-Husum,4.77778947368421,0.2923237844569428,4.87,0.08545319495922915,3.0,5.0,285,4.67,4.87,5.0,Entire home/apt
Frederiksberg,4.8291673746813935,0.2830488528228711,4.93,0.08011665308434336,0.0,5.0,1177,4.75,4.93,5.0,Entire home/apt
Indre By,4.771903470715835,0.290467113854614,4.86,0.08437114423102929,2.0,5.0,1844,4.67,4.86,5.0,Entire home/apt
Nørrebro,4.8061545940690324,0.2624666764461566,4.88,0.06888875624469146,2.5,5.0,2057,4.71,4.88,5.0,Entire home/apt
Valby,4.766994434137291,0.36093520354567066,4.88,0.13027422115855472,1.0,5.0,539,4.67,4.88,5.0,Entire home/apt
Vanløse,4.773959731543624,0.2882007782929844,4.83,0.08305968860868194,3.0,5.0,298,4.672499999999999,4.83,5.0,Entire home/apt
Vesterbro-Kongens Enghave,4.82822517207473,0.2482752039903969,4.91,0.06164057691647319,3.0,5.0,2034,4.75,4.91,5.0,Entire home/apt
Østerbro,4.812168582375479,0.29366125850777847,4.91,0.0862369347483723,2.0,5.0,1305,4.73,4.91,5.0,Entire home/apt
